country	id	cl	X1	X2	X3	X4	X5	X6	X7	village	village_name
TAJIKISTAN	596732	4	1.43849555226364e-08	0.000431672895731132	2.79867408738108e-05	0.995660278590876	3.92913587449694e-06	0.00369899813377356	0.0001771201179149	TAJIKISTAN2	Khorog
TAJIKISTAN	596733	3	0.000263226674506928	9.2375909244338e-07	0.998920081427397	2.4818786358755e-10	4.28185874339108e-07	3.533636096761e-07	0.00081498634133216	TAJIKISTAN2	Khorog
TAJIKISTAN	596735	1	0.999992470727661	2.7375255914e-11	7.39134927642062e-06	2.144063386e-14	1.29794043704e-11	8.7982626672e-08	4.99000595e-08	TAJIKISTAN4	Rushan
TAJIKISTAN	596737	1	0.990802338206236	2.40842302529303e-07	0.00305634337374786	1.05302882166398e-07	5.0947644843846e-07	9.90536455855466e-05	0.00604140915279737	TAJIKISTAN4	Rushan
TAJIKISTAN	596738	1	0.999997564444381	3.4900771e-14	1.9808445158621e-06	3.064511e-17	5.612301e-16	4.512902332741e-07	3.42083382e-09	TAJIKISTAN4	Rushan
TAJIKISTAN	596739	1	0.999928612854076	3.26113868808e-09	6.27721677057195e-05	4.9386229548e-13	4.980341163554e-10	8.3989485426414e-06	2.1227000958e-07	TAJIKISTAN4	Rushan
TAJIKISTAN	596740	3	0.312599211245861	0.00125296787808093	0.60228154044336	1.0700571737919e-08	2.8480356526958e-05	0.0790306611453388	0.00480712823026058	TAJIKISTAN4	Rushan
TAJIKISTAN	596742	1	0.999514632773663	6.2467308e-14	5.1319816949761e-08	5.4848448339e-13	5.1923833e-15	0.000485301497187068	1.440871652e-08	TAJIKISTAN4	Rushan
TAJIKISTAN	596743	1	0.984510383850232	1.053493246311e-09	0.000189233877577235	1.4410992028773e-09	2.3077841453e-12	0.0152547171115746	4.566266371619e-05	TAJIKISTAN4	Rushan
TAJIKISTAN	596744	1	0.999996557283588	2.1584138e-14	1.66551722081631e-07	5.696005e-17	5.572991e-16	3.2750861434551e-06	1.07852406e-09	TAJIKISTAN4	Rushan
TAJIKISTAN	596745	1	0.99997467848962	1.64933943314e-10	1.76162082091436e-06	3.519126863e-12	9.33062567e-14	2.3402940222555e-05	1.567807905e-07	TAJIKISTAN4	Rushan
TAJIKISTAN	596747	4	9.83023362705629e-09	2.862143085997e-09	4.36706407616263e-07	0.999986802034339	7.03538538742302e-06	1.23769022298e-07	5.5894124667e-06	TAJIKISTAN4	Rushan
TAJIKISTAN	596748	4	2.21941223999644e-08	4.78172210599426e-06	4.153772909464e-09	0.999073183043548	1.01929193064955e-06	0.000914223258926386	6.76633559338e-06	TAJIKISTAN4	Rushan
TAJIKISTAN	596749	1	0.976664805268461	1.14431378326143e-06	0.0213911815117483	6.9885611945e-12	1.08721620530306e-08	0.000457016442556008	0.0014858415843003	TAJIKISTAN4	Rushan
TAJIKISTAN	596750	1	0.99121540116881	1.52936325305151e-05	0.000427952652665898	4.90888291630156e-09	3.358022440838e-10	0.00317263706272971	0.00516871023857858	TAJIKISTAN4	Rushan
TAJIKISTAN	596751	7	0.00130733751668754	1.53293963122675e-06	0.052433136193866	5.66628998221655e-08	0.000238429102297027	6.612941148749e-07	0.946018846290503	TAJIKISTAN4	Rushan
TAJIKISTAN	596752	7	0.000872166249453836	0.000185107986242218	4.51811983908814e-05	7.31867267474833e-05	0.000595452071018695	5.2901774642064e-06	0.998223615590683	TAJIKISTAN4	Rushan
TAJIKISTAN	596753	1	0.993620183618835	1.33487670549557e-07	0.00609634872506263	7.09511654811e-11	4.87215632186295e-06	4.01192590651478e-05	0.00023834268209384	TAJIKISTAN4	Rushan
TAJIKISTAN	596754	7	0.000880347379864071	8.09512436536409e-05	0.00107897806486977	5.161857826814e-11	9.568106759159e-10	0.000699352987334327	0.997260369315849	TAJIKISTAN4	Rushan
UZBEKISTAN	596757	1	0.999705118625868	1.24999750446e-10	0.000289483563903905	2.696995774e-14	1.4863924271e-12	4.8484166727552e-06	5.4926704262e-07	UZBEKISTAN2	Tashkent
UZBEKISTAN	596758	1	0.999621645232143	2.08072177353e-10	0.00034476922306992	1.348855e-16	2.660631761e-13	3.35313510500199e-05	5.398539794e-08	UZBEKISTAN2	Tashkent
UZBEKISTAN	596759	3	0.000220768488493133	8.31402715156831e-07	0.997975081449287	5.67561948276901e-09	5.5601131478328e-07	2.4908739806389e-06	0.00180026609859009	UZBEKISTAN2	Tashkent
UZBEKISTAN	596760	3	0.000338741944677073	2.60496544385572e-07	0.997006714262025	2.0352994219188e-10	3.09518287871177e-05	1.32831406892763e-05	0.00261004812374761	UZBEKISTAN2	Tashkent
UZBEKISTAN	596763	1	0.988573240002349	4.97098029633013e-07	0.00984954572020185	5.09226432555e-11	4.716489410849e-10	0.00122101615970903	0.00035570049713856	UZBEKISTAN2	Tashkent
UZBEKISTAN	596764	3	2.59512846393647e-06	0.000579322576502443	0.965629058064957	0.000263381890160053	0.0188220287711015	0.0114844894562897	0.00321912411252535	UZBEKISTAN2	Tashkent
KAZAKISTAN	596765	1	0.993958257239499	1.4915566269e-11	0.00603992342124302	4.932706997e-14	3.29984307263e-11	8.294739139556e-07	9.8981738038e-07	KAZAKISTAN1	Almaty
KAZAKISTAN	596769	3	0.00922477295343664	3.4459933813597e-07	0.989688512302298	5.52782079622e-12	6.72381627009028e-05	1.67336028769525e-05	0.00100239837382163	KAZAKISTAN1	Almaty
KAZAKISTAN	596770	7	0.0242617297355034	0.00281080961884463	0.0370158953009959	7.28538753986137e-08	0.00027149603484461	0.0093394089528398	0.926300587503096	KAZAKISTAN1	Almaty
